ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
30046,simple,SET817A,Enchanting Rose Gold and Emerald Necklace and Earring Set ,1,0,visible,,"Radiate elegance and sophistication with this enchanting rose gold and emerald necklace and earring set.

This captivating set features stunning emerald gemstones (simulated) set in a trendy rose gold finish, perfect for adding a touch of modern flair to any outfit.

Emerald Elegance: Immerse yourself in the timeless beauty of simulated emerald gemstones boasting a rich green hue.

Rose Gold Trend:  The rose gold finish adds a touch of modern sophistication and warmth to the set, making it perfect for trendsetters.

Versatile Design: The classic design of the necklace and earrings makes this set perfect for everyday wear or special occasions.

Complete the Look: This set includes a necklace and earrings, ensuring a perfectly coordinated look.

High-Quality Craftsmanship: Made with high-quality materials, this set is designed to last.

Unbeatable Value:  Enjoy the luxurious look and feel of gemstones and rose gold at an affordable price (artific

Materials: Rose gold polish, simulated emerald gemstones
Style: Classic, trendy
Design: Necklace and earrings with simulated emerald gemstones
Occasion: Everyday wear, special occasion",,,taxable,,1,1,,0,0,,,,,0,,,3300,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16380897340.jpg,,,,,,,,,0,,,,,,,,
30047,simple,SET817C,Alluring Champagne and Rose Gold Necklace and Earring Set with Long Earrings (Artificial),1,0,visible,,"Indulge in the timeless glamour of this champagne and rose gold necklace and earring set, featuring cascading long earrings.

This captivating set boasts beautiful champagne gemstones (simulated) set in a trendy rose gold finish, making a unforgettable statement.

Sparkling Champagne Brilliance:  Captivate everyone with the dazzling brilliance of simulated champagne gemstones.

Rose Gold Trend: The rose gold finish adds a touch of modern sophistication and warmth to the set.

Cascading Elegance:  The long earrings add a touch of drama and glamour to the overall look.

Classic Design with a Modern Twist: The timeless design of the necklace and earrings with the long earring style makes this set perfect for any occasion.

Complete the Look: This set includes a necklace and long earrings, ensuring a perfectly coordinated look.

High-Quality Craftsmanship: Made with high-quality materials, this set is designed to last.

Unbeatable Value: Enjoy the luxurious look and feel of gemstones and rose gold at an affordable price (artificial).



Materials: Rose gold polish, simulated champagne gemstones
Style: Classic, trendy, glamorous
Design: Necklace and long earrings with simulated champagne gemstones
Occasion: Wedding, special occasion, evening wear",,,taxable,,1,1,,0,0,,,,,0,,,3300,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16380898000.jpg,,,,,,,,,0,,,,,,,,
30048,simple,SET811C,Exquisite Golden Champagne Necklace and Long Jhumki Earring Set (Artificial)**,1,0,visible,,"Embrace timeless Indian elegance with this exquisite golden champagne necklace and long jhumki earring set.

This captivating set features beautiful champagne gemstones (simulated) set in a gleaming golden finish, perfect for adding a touch of sophistication and cultural flair to any outfit.

Sparkling Champagne Brilliance: Captivate everyone with the dazzling brilliance of simulated champagne gemstones, adding a touch of understated luxury.

Golden Elegance: The luxurious golden finish complements the champagne gemstones beautifully, adding warmth and sophistication to the set.

Cascading Jhumki Earrings: The long jhumki earrings add a touch of drama and cultural flair to the overall look. The jhumki style adds a touch of tradition to the design, making it perfect for special occasions.

Classic Design with Traditional Touch: The timeless design of the necklace and the traditional jhumki earrings make this set a perfect blend of modern elegance and cultural heritage.

Complete the Look: This set includes a necklace and long jhumki earrings, ensuring a perfectly coordinated look.

High-Quality Craftsmanship: Made with high-quality materials, this set is designed to last.

Unbeatable Value: Enjoy the luxurious look and feel of gemstones and gold at an affordable price (artificial)

Materials: Golden polish, simulated champagne gemstones
Style: Classic, elegant, with a touch of traditional Indian style
Design: Necklace and long jhumki earrings with simulated champagne gemstones
Occasion: Wedding, special occasion, festive wear",,,taxable,,1,1,,0,0,,,,,0,,,5100,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16380896720.jpg,,,,,,,,,0,,,,,,,,
30049,simple,SET806,Sparkling Rhodium-Plated Necklace and Stud Earring Set,1,0,visible,,"This captivating necklace and earring set features a classic design with a touch of modern flair, perfect for adding a touch of elegance to any outfit.
The rhodium plating offers a bright, reflective finish that is more durable than sterling silver and less likely to tarnish.
The necklace features a row of sparkling cubic zirconia stones , adding a touch of glamour.
The stud earrings boast a single, brilliant cubic zirconia each, for a touch of timeless elegance.
The set is made with high-quality materials and is sure to become a cherished piece in your jewelry collection.


Materials: Rhodium plating 
Style: Classic, elegant
Design: Necklace with cubic zirconia stones, stud earrings
Finish: Rhodium-plated (bright, reflective, more durable than sterling silver, less likely to tarnish)
Occasion: Everyday wear, special occasion, gift",,,taxable,,1,1,,0,0,,,,,0,,,4900,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16380895130.jpg,,,,,,,,,0,,,,,,,,
30050,simple,SET806C,Enchanting Ruby and  Golden andRhodium-Plated Necklace and Earring Set,1,0,visible,,"Radiate timeless elegance and sophistication with this enchanting ruby and golden and rhodium-plated necklace and earring set.

This captivating set features stunning ruby gemstones (simulated) set in a gleaming rhodium-plated finish, adding a touch of modern flair to a classic design.

Ruby Allure: Immerse yourself in the fiery brilliance of simulated ruby gemstones, a captivating choice for any occasion.

Golden and Rhodium-plated Polish: The rhodium plating ensures a bright, reflective finish that is more durable than sterling silver and less likely to tarnish.

Classic Design with a Modern Twist: The timeless design of the necklace and earrings with the rhodium-plated finish adds a touch of modern sophistication to the set.

Complete the Look: This set includes a necklace and earrings, ensuring a perfectly coordinated look.

High-Quality Craftsmanship: Made with high-quality materials, this set is designed to last.

Unbeatable Value: Enjoy the luxurious look and feel of gemstones and rose gold at an affordable price (artificial).

Here are some additional details about the artificial ruby necklace and earring set:

Materials:Golden Rhodium plating, simulated ruby gemstones
Style: Classic, elegant, with a modern twist
Design: Necklace and earrings with simulated ruby gemstones
Occasion: Everyday wear, special occasion",,,taxable,,1,1,,0,0,,,,,0,,,4900,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16380895760.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16380895761.jpg",,,,,,,,,0,,,,,,,,
30051,simple,SET806D,Vivid Emerald and Golden Necklace and Earring Set,1,0,visible,,"Embrace captivating color and timeless elegance with this vivid emerald and golden necklace and earring set.

This dazzling set features stunning emerald gemstones (simulated) set in a gleaming golden finish, perfect for adding a touch of sophisticated flair to any outfit.

Emerald Brilliance: Immerse yourself in the rich green vibrancy of simulated emerald gemstones, a captivating addition to any look.

Golden Elegance: The luxurious golden finish complements the emerald gemstones beautifully, adding warmth and sophistication to the set.

Classic Design: The timeless design of the necklace and earrings makes this set versatile enough for everyday wear or special occasions.

Complete the Look: This set includes a necklace and earrings, ensuring a perfectly coordinated look.

High-Quality Craftsmanship: Made with high-quality materials, this set is designed to last.

Unbeatable Value: Enjoy the luxurious look and feel of gemstones and gold at an affordable price (artificial).



Materials: Golden polish, simulated emerald gemstones
Style: Classic, elegant
Design: Necklace and earrings with simulated emerald gemstones
Occasion: Everyday wear, special occasion",,,taxable,,1,1,,0,0,,,,,0,,,4900,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16380896290.jpg,,,,,,,,,0,,,,,,,,
30052,simple,SET799,"Vintage Indian Silver Oxidized Choker Necklace Set with Mirror Work

",1,0,visible,,"This captivating Indian jewelry set features a choker necklace with intricate mirror work, reflecting a vintage aesthetic.

The oxidized silver finish adds a touch of elegance and depth to the design.

The set includes a matching pair of earrings, making it a complete and coordinated look.

Unique Mirror Work:  The eye-catching mirror work on the choker adds a touch of glamour and reflects light beautifully.

Vintage Silver Appeal: The oxidized silver finish gives the set a classic, vintage look that is perfect for those who appreciate traditional Indian jewelry.

Complete Set: The set includes a choker necklace and a matching pair of earrings for a perfectly coordinated look.

Material: Silver (oxidized finish), mirror pieces (material not specified)
Style: Vintage, Indian
Design: Choker necklace with mirror work, matching earrings
Occasion: Everyday wear, special occasion",,,taxable,,1,1,,0,0,,,,,0,,,21800,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16044914240.jpg,,,,,,,,,0,,,,,,,,
30053,simple,SET795,Rodium plated Delicate long Necklace and Earring Set with Cubic Zirconia,1,0,visible,,"This dazzling necklace and earring set features sparkling cubic zirconia gemstones set in gleaming rhodium plating.
The rhodium plating offers a bright, reflective finish that is more durable than sterling silver and less likely to tarnish.
The necklace features a classic design with a single strand of sparkling cubic zirconia stones, perfect for adding a touch of glamour to any outfit.
The long earrings boast a single, brilliant cubic zirconia each, for a touch of timeless elegance.
The set is made with high-quality materials and is sure to become a cherished piece in your jewelry collection.


Materials: Rhodium plating, cubic zirconia
Style: Classic, elegant
Design: Single strand necklace with cubic zirconia stones, long earrings
Finish: Rhodium-plated (bright, reflective, more durable than sterling silver, less likely to tarnish)
Occasion: Everyday wear, special occasion, gift",,,taxable,,1,1,,0,0,,,,,0,,,10200,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16044909820.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16044909831.jpg",,,,,,,,,0,,,,,,,,
30054,simple,SET795A,Elegant Rose Gold Single Strand Necklace and Long Drop Earrings Set**,1,0,visible,,"This captivating rose gold necklace and earring set features a delicate single strand design and stunning long drop earrings, perfect for adding a touch of sophisticated glamour to any outfit.

The warm rose gold polish adds a touch of elegance and warmth to the overall look.

Single Strand Design:  The delicate single strand necklace offers a minimalist look that complements the long earrings beautifully.

Long Drop Earrings: The dramatic long drop earrings add a touch of glamour and elongate the silhouette.

Rose Gold Polish: The trendy rose gold finish adds a touch of modern sophistication to the classic design.

Complete the Look: This set includes a single strand necklace and a pair of long drop earrings, ensuring a perfectly coordinated look.

High-Quality Craftsmanship: Made with high-quality materials, this set is designed to last.

Versatile Style: This set can be dressed up or down, making it perfect for everyday wear or special occasions.



Material: Rose gold polish (material not specified)
Style: Elegant, sophisticated
Design: Single strand necklace, long drop earrings
Occasion: Everyday wear, special occasion",,,taxable,,1,1,,0,0,,,,,0,,,10200,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16044911690.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16044911691.jpg",,,,,,,,,0,,,,,,,,
30055,simple,SET795B,Exquisite Golden Single Strand Necklace and Long Tassel Earrings Set*,1,0,visible,,"This captivating golden necklace and earring set features a classic single strand design and stunning long tassel earrings, perfect for adding a touch of timeless elegance to any outfit.

The gleaming gold polish adds a touch of sophistication and luxury to the overall look.

Single Strand Design: The delicate single strand necklace offers a minimalist look that complements the long tassel earrings beautifully.

Long Tassel Earrings: The dramatic long tassel earrings add a touch of movement and glamour, elongating the silhouette.

Gleaming Gold Polish: The classic gold finish exudes timeless elegance and luxury.

Complete the Look: This set includes a single strand necklace and a pair of long tassel earrings, ensuring a perfectly coordinated look.

High-Quality Craftsmanship: Made with high-quality materials, this set is designed to last.

Versatile Style: This set can be dressed up or down, making it perfect for everyday wear or special occasions.

Material: Gold polish 
Style: Elegant, classic
Design: Single strand necklace, long tassel earrings
Occasion: Everyday wear, special occasion",,,taxable,,1,1,,0,0,,,,,0,,,10200,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16044913260.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16044913271.jpg",,,,,,,,,0,,,,,,,,
30056,simple,SET794B,Two-Tone Teardrop Necklace and Earring Set with Simulated Emeralds,1,0,visible,,"Embrace a touch of vintage glamour with this captivating two-tone teardrop necklace and earring set, featuring a mix of rose and silver polish.

Sparkling Simulated Emeralds:  Mesmerize everyone with the brilliance of simulated emerald gemstones (teardrop-shaped) nestled in a beautiful two-toned setting.

Two-Tone Elegance: The combination of rose and silver polish adds a touch of sophistication and vintage charm to the design.

Delicate Design: The necklace features a delicate chain with a central pendant featuring a simulated emerald gemstone, while the earrings boast a classic stud design with cubic zirconia gemstones. This combination adds a touch of elegance and makes the set versatile for various occasions.

Complete the Look: This set includes a necklace and a pair of stud earrings, ensuring a perfectly coordinated look.

High-Quality Craftsmanship: Made with high-quality materials, this set is designed to last.

Unbeatable Value: Enjoy the luxurious look and feel of simulated emeralds and cubic zirconia at an affordable price (artificial).



Materials: Rose and silver-toned polish (material not specified), simulated emerald gemstones (teardrop-shaped in pendant), cubic zirconia gemstones (stud earrings)
Style: Elegant, vintage-inspired
Design: Necklace with a central pendant featuring a teardrop-shaped simulated emerald, stud earrings with cubic zirconia gemstones
Occasion: Everyday wear, special occasion",,,taxable,,1,1,,0,0,,,,,0,,,7700,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16380894350.jpg,,,,,,,,,0,,,,,,,,
30057,simple,SET792A,Enchanting Rose Gold Ruby and Cubic Zirconia Floral Necklace and Earring Set,1,0,visible,"Design: Classic and timeless, featuring a delicate chain and a pendant with a sparkling white cubic zirconia gemstone.
Gemstones: Cubic zirconia, a man-made gemstone known for its brilliance and fire, similar to diamonds at a fraction of the cost.
Shape: Oval-shaped cubic zirconia adds a touch of sophistication and elongates the appearance of the neck.
Material: Durable and affordable brass, a popular choice in jewelry making.
Occasion: Versatile for any occasion, adding a touch of elegance to your outfit.
Polish: Rose gold plating with a warm and rosy hue that flatters many skin tones.","Capture hearts with this enchanting rose gold necklace and earring set, featuring a captivating floral design with sparkling ruby gemstones and delicate cubic zirconia accents.

Ruby Allure: Immerse yourself in the fiery brilliance of simulated ruby gemstones, adding a touch of captivating color to any outfit.

Floral Elegance: The rose gold polish and floral design combine for a touch of romantic and vintage charm.

Sparkling Cubic Zirconia Accents: Delicate cubic zirconia gemstones add a touch of sparkle and complement the ruby gemstones beautifully.

Rose Gold Polish: The luxurious rose gold finish adds warmth and sophistication to the overall look.

Complete the Look: This set includes a necklace and earrings, ensuring a perfectly coordinated look.

High-Quality Craftsmanship: Made with high-quality materials, this set is designed to last.

Unbeatable Value: Enjoy the luxurious look and feel of gemstones and rose gold at an affordable price



Materials: Rose gold polish (brass), simulated ruby gemstones (likely round cut), cubic zirconia gemstones (accents, size and cut may vary)
Style: Romantic, vintage-inspired, elegant
Design: Floral design necklace with simulated ruby gemstones and cubic zirconia accents, matching floral design earrings
Occasion: Everyday wear, special occasion",,,taxable,,1,1,,0,0,,,,,0,,,6500,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16380891640.jpg,,,,,,,,,0,,,,,,,,
30058,simple,SET792D,Enchanting Rose Gold Floral Necklace and Earring Set with Simulated Sapphires and Cubic Zirconia ,1,0,visible,,"Immerse yourself in captivating elegance with this enchanting rose gold floral necklace and earring set, featuring stunning simulated sapphires and sparkling cubic zirconia accents.

Sparkling Simulated Sapphires: Captivate everyone with the dazzling brilliance of simulated sapphires, adding a touch of sophistication and cool elegance to any outfit.

Rose Gold Romance: The luxurious rose gold finish adds a touch of warmth and romantic charm to the floral design.

Delicate Cubic Zirconia Accents: Sparkling cubic zirconia gemstones complement the simulated sapphires beautifully, adding extra sparkle and shine.

Floral Design: The floral design of the necklace and earrings offers a touch of vintage inspiration and timeless elegance.

Complete the Look: This set includes a necklace and earrings, ensuring a perfectly coordinated look.

High-Quality Craftsmanship: Made with high-quality materials, this set is designed to last.

Unbeatable Value: Enjoy the luxurious look and feel of gemstones and rose gold at an affordable price .



Materials: Rose gold polish , simulated sapphire gemstones (likely round cut), cubic zirconia gemstones (accents, size and cut may vary)
Style: Romantic, vintage-inspired, elegant
Design: Floral design necklace with simulated sapphire gemstones and cubic zirconia accents, matching floral design earrings
Occasion: Everyday wear, special occasion",,,taxable,,1,1,,0,0,,,,,0,,,6500,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16380893050.jpg,,,,,,,,,0,,,,,,,,
30059,simple,SET788A,Starry Night Diamond Set,1,0,visible,,What will be delivered? :- Necklace Set & Earrings,,,taxable,,1,1,,0,0,,,,,0,,,16200,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16303156520.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16303156531.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16303156532.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16303156533.jpg",,,,,,,,,0,,,,,,,,
